,timestamp,Channel 1,segundos,diff
0,1675382072.13,0.0,0.0,287.91
1,1675382072.13,0.0,0.003,287.91
2,1675382072.13,0.0,0.006,287.91
3,1675382072.13,0.0,0.009000000000000001,287.91
4,1675382072.13,0.0,0.012,287.91
5,1675382072.13,0.0,0.015,287.91
6,1675382072.13,0.0,0.018000000000000002,287.91
7,1675382072.13,0.0,0.021,287.91
8,1675382072.13,0.0,0.024,287.91
9,1675382072.13,0.0,0.027,287.91
10,1675382072.13,0.0,0.03,287.91
11,1675382072.46,0.0,0.033,287.91
12,1675382072.47,0.0,0.036000000000000004,287.91
13,1675382072.47,0.0,0.039,287.91
14,1675382072.47,0.0,0.042,287.91
15,1675382072.47,0.0,0.045,287.91
16,1675382072.47,0.0,0.048,287.91
17,1675382072.48,0.0,0.051000000000000004,287.91
18,1675382072.48,0.0,0.054,287.91
19,1675382072.48,0.0,0.057,287.91
20,1675382072.48,0.0,0.06,287.91
21,1675382072.48,0.0,0.063,287.91
22,1675382072.8,0.0,0.066,287.91
23,1675382072.8,0.0,0.069,287.91
24,1675382072.8,0.0,0.07200000000000001,287.91
25,1675382072.81,0.0,0.075,287.91
26,1675382072.81,0.0,0.078,287.91
27,1675382072.81,0.0,0.081,287.91
28,1675382072.81,0.0,0.084,287.91
29,1675382072.81,0.0,0.08700000000000001,287.91
30,1675382072.81,0.0,0.09,287.91
31,1675382072.82,0.0,0.093,287.91
32,1675382072.113,0.0,0.096,287.91
33,1675382072.113,0.0,0.099,287.91
34,1675382072.113,0.0,0.10200000000000001,287.91
35,1675382072.113,0.0,0.105,287.91
36,1675382072.113,0.0,0.108,287.91
37,1675382072.113,0.0,0.111,287.91
38,1675382072.113,0.0,0.114,287.91
39,1675382072.113,0.0,0.117,287.91
40,1675382072.113,0.0,0.12,287.91
41,1675382072.114,0.0,0.123,287.91
42,1675382072.114,0.0,0.126,287.91
43,1675382072.146,0.0,0.129,287.91
44,1675382072.146,0.0,0.132,287.91
45,1675382072.147,0.0,0.135,287.91
46,1675382072.147,0.0,0.138,287.91
47,1675382072.147,0.0,0.14100000000000001,287.91
48,1675382072.147,0.0,0.14400000000000002,287.91
49,1675382072.147,0.0,0.147,287.91
50,1675382072.147,0.0,0.15,287.91
51,1675382072.147,0.0,0.153,287.91
52,1675382072.147,0.0,0.156,287.91
53,1675382072.147,0.0,0.159,287.91
54,1675382072.18,0.0,0.162,287.91
55,1675382072.18,0.0,0.165,287.91
56,1675382072.18,0.0,0.168,287.91
57,1675382072.18,0.0,0.171,287.91
58,1675382072.18,0.0,0.17400000000000002,287.91
59,1675382072.181,0.0,0.177,287.91
60,1675382072.181,0.0,0.18,287.91
61,1675382072.181,0.0,0.183,287.91
62,1675382072.181,0.0,0.186,287.91
63,1675382072.181,0.0,0.189,287.91
64,1675382072.213,0.0,0.192,287.91
65,1675382072.213,0.0,0.195,287.91
66,1675382072.213,0.0,0.198,287.91
67,1675382072.213,0.0,0.201,287.91
68,1675382072.213,0.0,0.20400000000000001,287.91
69,1675382072.213,0.0,0.20700000000000002,287.91
70,1675382072.214,0.0,0.21,287.91
71,1675382072.214,0.0,0.213,287.91
72,1675382072.214,0.0,0.216,287.91
73,1675382072.214,0.0,0.219,287.91
74,1675382072.214,0.0,0.222,287.91
75,1675382072.246,0.0,0.225,287.91
76,1675382072.247,0.0,0.228,287.91
77,1675382072.247,0.0,0.231,287.91
78,1675382072.247,0.0,0.234,287.91
79,1675382072.247,0.0,0.23700000000000002,287.91
80,1675382072.247,0.0,0.24,287.91
81,1675382072.247,0.0,0.243,287.91
82,1675382072.247,0.0,0.246,287.91
83,1675382072.247,0.0,0.249,287.91
84,1675382072.248,0.0,0.252,287.91
85,1675382072.248,0.0,0.255,287.91
86,1675382072.28,0.0,0.258,287.91
87,1675382072.28,0.0,0.261,287.91
88,1675382072.28,0.0,0.264,287.91
89,1675382072.28,0.0,0.267,287.91
90,1675382072.28,0.0,0.27,287.91
91,1675382072.28,0.0,0.273,287.91
92,1675382072.28,0.0,0.276,287.91
93,1675382072.281,0.0,0.279,287.91
94,1675382072.281,0.0,0.28200000000000003,287.91
95,1675382072.281,0.0,0.28500000000000003,287.91
96,1675382072.313,0.0,0.28800000000000003,287.91
97,1675382072.313,0.0,0.291,287.91
98,1675382072.313,0.0,0.294,287.91
99,1675382072.313,0.0,0.297,287.91
100,1675382072.314,0.0,0.3,287.91
101,1675382072.314,0.0,0.303,287.91
102,1675382072.314,0.0,0.306,287.91
103,1675382072.314,0.0,0.309,287.91
104,1675382072.314,0.0,0.312,287.91
105,1675382072.314,38.0,0.315,249.91000000000003
106,1675382072.346,130.0,0.318,157.91000000000003
107,1675382072.346,229.0,0.321,58.910000000000025
108,1675382072.346,298.0,0.324,10.089999999999975
109,1675382072.346,347.0,0.327,59.089999999999975
110,1675382072.346,379.0,0.33,91.08999999999997
111,1675382072.346,403.0,0.333,115.08999999999997
112,1675382072.346,418.0,0.336,130.08999999999997
113,1675382072.38,429.0,0.339,141.08999999999997
114,1675382072.38,437.0,0.342,149.08999999999997
115,1675382072.38,443.0,0.34500000000000003,155.08999999999997
116,1675382072.38,445.0,0.34800000000000003,157.08999999999997
117,1675382072.38,449.0,0.35100000000000003,161.08999999999997
118,1675382072.38,451.0,0.354,163.08999999999997
119,1675382072.413,451.0,0.357,163.08999999999997
120,1675382072.413,452.0,0.36,164.08999999999997
121,1675382072.413,454.0,0.363,166.08999999999997
122,1675382072.413,454.0,0.366,166.08999999999997
123,1675382072.413,453.0,0.369,165.08999999999997
124,1675382072.413,454.0,0.372,166.08999999999997
125,1675382072.446,454.0,0.375,166.08999999999997
126,1675382072.446,454.0,0.378,166.08999999999997
127,1675382072.447,454.0,0.381,166.08999999999997
128,1675382072.447,456.0,0.384,168.08999999999997
129,1675382072.447,455.0,0.387,167.08999999999997
130,1675382072.447,455.0,0.39,167.08999999999997
131,1675382072.447,456.0,0.393,168.08999999999997
132,1675382072.479,455.0,0.396,167.08999999999997
133,1675382072.48,455.0,0.399,167.08999999999997
134,1675382072.48,455.0,0.402,167.08999999999997
135,1675382072.48,455.0,0.405,167.08999999999997
136,1675382072.48,456.0,0.40800000000000003,168.08999999999997
137,1675382072.48,454.0,0.41100000000000003,166.08999999999997
