timestamp,Channel 1
1675515457.116,1.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.117,0.0
1675515457.148,0.0
1675515457.148,1.0
1675515457.149,1.0
1675515457.149,0.0
1675515457.149,0.0
1675515457.149,0.0
1675515457.149,0.0
1675515457.150,1.0
1675515457.150,0.0
1675515457.150,0.0
1675515457.181,0.0
1675515457.182,0.0
1675515457.182,0.0
1675515457.182,0.0
1675515457.182,0.0
1675515457.183,0.0
1675515457.183,0.0
1675515457.183,0.0
1675515457.183,0.0
1675515457.183,0.0
1675515457.183,1.0
1675515457.215,0.0
1675515457.215,0.0
1675515457.215,0.0
1675515457.215,1.0
1675515457.215,0.0
1675515457.215,0.0
1675515457.215,0.0
1675515457.215,0.0
1675515457.216,0.0
1675515457.216,0.0
1675515457.216,1.0
1675515457.248,0.0
1675515457.248,1.0
1675515457.249,0.0
1675515457.249,0.0
1675515457.249,0.0
1675515457.249,0.0
1675515457.250,0.0
1675515457.250,0.0
1675515457.250,0.0
1675515457.250,0.0
1675515457.281,0.0
1675515457.282,1.0
1675515457.282,0.0
1675515457.282,0.0
1675515457.282,0.0
1675515457.283,0.0
1675515457.283,0.0
1675515457.283,0.0
1675515457.283,0.0
1675515457.284,0.0
1675515457.284,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.315,0.0
1675515457.348,0.0
1675515457.348,0.0
1675515457.349,0.0
1675515457.349,0.0
1675515457.349,0.0
1675515457.349,0.0
1675515457.349,0.0
1675515457.349,0.0
1675515457.350,1.0
1675515457.350,0.0
1675515457.381,0.0
1675515457.381,0.0
1675515457.382,0.0
1675515457.382,0.0
1675515457.382,0.0
1675515457.382,0.0
1675515457.382,0.0
1675515457.383,0.0
1675515457.383,0.0
1675515457.383,0.0
1675515457.383,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.415,0.0
1675515457.416,0.0
1675515457.448,0.0
1675515457.448,0.0
1675515457.448,0.0
1675515457.449,0.0
1675515457.449,0.0
1675515457.449,0.0
1675515457.450,0.0
1675515457.450,0.0
1675515457.450,0.0
1675515457.450,0.0
1675515457.481,0.0
1675515457.482,0.0
1675515457.482,0.0
1675515457.482,0.0
1675515457.482,0.0
1675515457.483,0.0
1675515457.483,0.0
1675515457.483,1.0
1675515457.483,0.0
1675515457.484,0.0
1675515457.484,0.0
1675515457.514,0.0
1675515457.515,0.0
1675515457.515,0.0
1675515457.515,0.0
1675515457.515,0.0
1675515457.516,0.0
1675515457.516,0.0
1675515457.516,0.0
1675515457.516,0.0
1675515457.516,0.0
1675515457.516,0.0
1675515457.548,0.0
1675515457.548,1.0
1675515457.548,0.0
1675515457.548,0.0
1675515457.548,0.0
1675515457.548,0.0
1675515457.549,0.0
1675515457.549,0.0
1675515457.549,0.0
1675515457.549,1.0
1675515457.581,0.0
1675515457.581,1.0
1675515457.582,0.0
1675515457.582,0.0
1675515457.582,1.0
1675515457.582,0.0
1675515457.582,0.0
1675515457.582,0.0
1675515457.583,0.0
1675515457.583,0.0
1675515457.583,0.0
1675515457.614,1.0
1675515457.614,1.0
1675515457.615,0.0
1675515457.615,0.0
1675515457.615,0.0
1675515457.615,0.0
1675515457.615,0.0
1675515457.616,0.0
1675515457.616,0.0
1675515457.616,0.0
1675515457.616,0.0
1675515457.647,0.0
1675515457.648,0.0
1675515457.648,0.0
1675515457.648,1.0
1675515457.648,0.0
